E00ZP000000000         A07ECF-IF ZPM                 ZPM/2EFC LOGGER     00000001000000000000000000000000000000000000000000nomedosoftwarehouse                     nomedoaplicativo                        1.1.1     linha1aplicativo                          linha2aplicativo                          
E01ZP000000000         AECF-IF ZPM                 ZPM/2EFC LOGGER     01.00.01  2007071214514902300000000000000TDM000001000112200711192007111901.01.01AC1704 01.00.00
E02ZP000000000         AZPM/2EFC LOGGER     00000000000000888888888888  CONTRIBUINTE EXEMPLO S/A                AV CAMILO PESTANA 000, SÃO PAULO, SP, CEP 00000-000                                                                     2007073116285000000100000000002142866407
E12ZP000000000         AZPM/2EFC LOGGER     07000112046397000001200711192007111921510800000000155375S
E13ZP000000000         AZPM/2EFC LOGGER     07000112DT     0000000000001
E13ZP000000000         AZPM/2EFC LOGGER     07000112Can-T  0000000005201
E13ZP000000000         AZPM/2EFC LOGGER     07000112OPNF   0000000171084
E13ZP000000000         AZPM/2EFC LOGGER     0700011206T03200000000134563
E13ZP000000000         AZPM/2EFC LOGGER     07000112F1     0000000013700
E13ZP000000000         AZPM/2EFC LOGGER     07000112N1     0000000001910
E14ZP000000000         AZPM/2EFC LOGGER     0703718604610520071119000000000005400000000000000V0000000000000V00000000000540N0000000000000 Cliente Exemplo                         00000000000191
E14ZP000000000         AZPM/2EFC LOGGER     0703718704610620071119000000000005300000000000000V0000000000000V00000000000530N0000000000000 Cliente Exemplo   CPF Inválido          00000000000192
E14ZP000000000         AZPM/2EFC LOGGER     0703718804610720071119000000000004300000000000000V0000000000000V00000000000430N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703718904610820071119000000000003400000000000000V0000000000000V00000000000340N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719004610920071119000000000003100000000000000V0000000000000V00000000000310N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719104611020071119000000000004500000000000000V0000000000000V00000000000450N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719204611120071119000000000002800000000000000V0000000000000V00000000000280N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719304611220071119000000000005600000000000000V0000000000000V00000000000560N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719404611320071119000000000007100000000000000V0000000000000V00000000000710N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719504611420071119000000000012400000000000000V0000000000000V00000000001240N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719604611520071119000000000004800000000000000V0000000000000V00000000000480N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719704611620071119000000000006200000000000000V0000000000000V00000000000620N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719804612020071119000000000006900000000000000V0000000000000V00000000000690N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703719904612120071119000000000008400000000000000V0000000000000V00000000000840N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720004612320071119000000000009900000000000000V0000000000000V00000000000990N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720104612520071119000000000012400000000000000V0000000000000V00000000001240N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720204612620071119000000000011900000000000000V0000000000000V00000000001190N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720304612820071119000000000010800000000000000V0000000000000V00000000001080N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720404612920071119000000000022200000000000000V0000000000000V00000000002220N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720504613020071119000000000002800000000000000V0000000000000V00000000000280N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720604613220071119000000000009300000000000000V0000000000000V00000000000930N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720704613420071119000000000013000000000000000V0000000000000V00000000001300N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720804613520071119000000000011600000000000000V0000000000000V00000000001160N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703720904613720071119000000000010700000000000000V0000000000000V00000000001070N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721004613920071119000000000012500000000000000V0000000000000V00000000001250N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721104614020071119000000000010200000000000000V0000000000000V00000000001020N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721204614120071119000000000009200000000000000V0000000000000V00000000000920N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721304614220071119000000000020400000000000000V0000000000000V00000000002040N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721404614420071119000000000003000000000000000V0000000000000V00000000000300N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721504614520071119000000000009200000000000000V0000000000000V00000000000920N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721604614720071119000000000008400000000000000V0000000000000V00000000000840N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721704614820071119000000000006800000000000000V0000000000000V00000000000680N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721804615020071119000000000001600000000000000V0000000000000V00000000000160N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703721904615120071119000000000001600000000000000V0000000000000V00000000000160N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722004615220071119000000000003200000000000000V0000000000000V00000000000320N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722104615320071119000000000019810000000000000V0000000000000V00000000001981N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722204615420071119000000000010400000000000000V0000000000000V00000000001040N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722304615520071119000000000007800000000000000V0000000000000V00000000000780N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722404615620071119000000000008210000000000000V0000000000000V00000000000821N0000000000000                                         00000000000000
E14ZP000000000         AZPM/2EFC LOGGER     0703722504615720071119000000000005300000000000000V0000000000000V00000000000530N0000000000000                                         00000000000000
